,Issue,Issue_cat,Mean_score,Median_rank,Final_rank,492e4b,Rank_0,22338c,Rank_1,9f1eb6,Rank_2,04545f,Rank_3,6d4470,Rank_4,ed22ef,Rank_5,540a7a,Rank_6,708920,Rank_7,9a2d12,Rank_8,cdefc7,Rank_9,d9bf00,Rank_10,3ee680,Rank_11,e5ed2f,Rank_12,029745,Rank_13,b59cd1,Rank_14,3bf1fb,Rank_15,04c88f,Rank_16,e96af1,Rank_17,4f4fcd,Rank_18,53465a,Rank_19,3b7706,Rank_20,874d58,Rank_21,fb235a,Rank_22,79bd39,Rank_23,d2282d,Rank_24,7b9161,Rank_25,fbb58e,Rank_26,2a8c4a,Rank_27
24,Emerging technologies and geopolitical instability,Systemic Risk,521.3928571,43.75,24,911,5.0,880,15.0,230,76,222,69.5,724.0,35.0,654,42.0,645,28.0,467,54.0,311,45.0,397,55,927,5,300,67.0,504,48.0,750,6.0,541,31.0,350,10.5,200,37.5,489,42.5,300,77.5,498,60.0,900,11.0,950,12.0,588,47.0,150,89.0,911,9.0,3,91.5,267,84.0,530,60.0
25,Unilateral Deployment of Solar Radiation Management,Climate Environment & Ecology,546.8928571,44.25,26,710,28.0,615,58.0,412,23,800,24.0,661.0,43.0,541,61.0,455,55.5,557,46.5,504,11.0,726,25,653,71,800,15.5,571,33.0,115,71.0,220,73.0,140,45.5,95,61.5,630,19.0,780,26.5,299,79.0,470,78.0,350,70.0,769,27.5,815,5.0,897,14.0,300,61.0,843,32.0,585,51.0
26,Artificial Intelligence and Truth Decay merged with Collapse of Truth,Epistemics,509.3214286,46.0,27,375,76.0,846,27.0,580,9,50,81.0,587.0,51.0,700,21.0,655,26.0,619,36.0,218,73.0,956,7,890,28,204,76.0,757,5.0,515,30.0,93,85.0,140,45.5,145,46.5,701,12.0,850,16.0,400,69.0,640,59.5,700,40.0,444,58.0,180,88.0,375,80.0,400,48.5,460,72.0,781,12.0
27,Loss of primary productivity,Climate Environment & Ecology,515.5392857,46.0,27,764,22.0,834,29.0,190,80,723,31.5,907.1,9.0,588,51.0,230,87.0,641,31.0,486,16.0,667,34,624,79,471,43.0,671,11.0,335,51.0,577,24.0,150,42.5,70,70.5,150,83.0,460,57.5,531,49.0,630,61.0,400,64.5,357,61.0,803,12.0,760,29.0,5,85.0,931,12.0,480,72.0
28,Locked in climate tipping point impacts undermines capacity for climate action: ice sheet collapse and sea level rise merged with weakening of the AMOC,Climate Environment & Ecology,517.1321429,46.25,29,598,46.0,864,22.5,250,73,888,20.0,230.7,86.0,556,54.5,625,31.0,339,70.0,164,86.0,658,35,620,81,302,65.5,602,25.5,222,59.0,499,36.0,220,22.5,145,46.5,149,84.0,600,50.0,702,20.0,610,62.5,987,8.0,77,85.0,769,26.0,858,19.0,400,48.5,941,11.0,604,43.0
29,Societal Tipping points as the main mechanism for societal collapse,Society,498.1107143,48.5,30,695,32.0,743,46.0,354,51,788,26.5,450.1,69.0,545,60.0,560,41.0,724,21.0,288,57.5,792,20,735,52,310,61.0,580,30.0,105,73.0,368,57.0,170,38.5,600,9.0,524,33.0,750,30.5,378,71.5,840,31.0,17,90.0,10,96.0,519,63.0,673,37.0,3,91.5,900,17.0,526,61.0
30,The expectation of solar radiation management destroys decarbonisation incentives,Climate Environment & Ecology,486.8928571,49.0,31,667,37.0,774,42.0,170,82,622,40.0,573.0,54.0,442,79.0,111,95.0,153,86.5,539,9.0,715,29,625,78,419,47.0,572,31.5,61,84.0,317,62.5,70,74.5,45,80.0,535,30.0,600,50.0,570,45.0,400,84.0,996,3.5,565,48.0,650,45.0,475,66.0,270,64.5,895,21.0,802,6.5
31,Collapse of economic growth,Economics,454.325,51.0,32,150,91.0,856,25.0,700,4,532,48.0,623.1,46.0,800,6.0,220,90.0,108,88.0,201,78.0,180,76,734,53,807,13.5,394,77.0,135,67.0,75,90.0,130,49.0,185,40.0,592,25.0,500,54.0,281,81.0,880,22.5,300,73.5,559,49.0,690,41.0,437,72.0,200,70.5,732,47.0,720,21.0
32,Use of inadequate tools for climate risk assessment and adaptation,Climate Environment & Ecology,497.4642857,51.0,32,395,75.0,859,24.0,318,64,158,76.0,583.0,52.5,550,58.5,232,86.0,246,78.0,342,41.0,689,33,750,49,867,9.0,700,8.5,399,45.0,414,50.0,140,45.5,270,29.5,277,69.0,300,77.5,404,68.0,590,68.0,897,17.0,267,68.0,523,61.0,700,33.0,690,11.0,789,36.0,580,52.0
33,State Capacity Deficits,Government & Politics,478.0714286,51.5,34,652,40.0,541,65.0,290,70,923,11.0,606.0,50.0,800,6.0,400,65.0,743,16.5,379,30.0,200,71,612,83,364,53.0,801,4.0,606,17.0,50,93.0,30,87.0,205,36.0,489,42.5,900,5.5,724,12.0,750,40.5,9,93.0,69,87.0,490,71.0,230,90.0,450,41.5,523,60.0,550,57.0
34,Combination of natural and technological disasters,Systemic Risk,476.8928571,52.0,35,812,14.0,625,56.0,200,79,776,29.0,304.0,83.0,474,67.5,465,54.0,647,29.0,476,17.0,127,82,895,26,333,57.0,492,57.0,43,86.0,399,51.0,40,84.0,175,41.5,424,53.0,680,36.5,198,85.0,720,45.5,220,77.0,266,69.0,795,17.0,623,51.0,490,33.0,946,8.0,708,25.0
35,Catastrophic impacts from satellite megaconstellations merged with Kessler syndrome in low earth orbit disrupts communication and spacefaring technology,Space,493.4642857,56.5,36,398,73.5,411,76.0,150,84,280,64.0,917.0,7.0,443,77.5,630,30.0,561,44.5,499,14.0,510,48,694,63,889,5.0,320,83.0,64,83.0,730,4.0,100,63.5,295,26.0,59,91.0,300,77.5,519,52.0,640,59.5,502,54.0,890,13.0,526,59.0,650,44.0,230,68.0,890,22.0,720,21.0
36,Change to a superrotating state of the atmosphere,Climate Environment & Ecology,454.4285714,61.5,37,490,59.0,485,70.0,40,95,5,93.5,750.0,29.0,445,75.0,540,44.0,555,48.0,267,62.0,650,37,621,80,779,21.0,821,1.0,50,85.0,677,13.5,70,74.5,65,73.0,109,87.0,180,84.5,1,96.0,250,93.0,810,26.0,749,32.0,520,62.0,735,31.0,300,61.0,960,7.0,800,8.5
